env_id,method,condition,seed,fitness
Pendulum-v1,ppo,perturbed,1253,-200.39045204737016
Pendulum-v1,ppo_tuned,clean,1253,-1096.7959221535514
Pendulum-v1,ppo_tuned,perturbed,1253,-1067.7968583508728
Pendulum-v1,es,clean,1253,-1133.3816949043644
Pendulum-v1,es,perturbed,1253,-1125.5459082863624
Pendulum-v1,cmaes,clean,1253,-1110.206125405801
Pendulum-v1,cmaes,perturbed,1253,-1070.4220649575157
Pendulum-v1,neat,clean,1253,-1020.2781811845173
Pendulum-v1,neat,perturbed,1253,-1159.5501410569327
Pendulum-v1,random,clean,1234,-1304.6798980797919
Pendulum-v1,random,clean,1235,-1239.8192807773457
Pendulum-v1,random,clean,1236,-1316.9552244746767
Pendulum-v1,random,clean,1237,-1281.867117956094
Pendulum-v1,random,clean,1238,-1324.8642685905054
Pendulum-v1,random,clean,1239,-1320.559137797954
Pendulum-v1,random,clean,1240,-1386.5278485936692
Pendulum-v1,random,clean,1241,-1262.54387065648
Pendulum-v1,random,clean,1242,-1308.915790685798
Pendulum-v1,random,clean,1243,-1312.2287515938438
Pendulum-v1,random,clean,1244,-1281.3831671725754
Pendulum-v1,random,clean,1245,-1304.9600077355744
Pendulum-v1,random,clean,1246,-1301.2982924879502
Pendulum-v1,random,clean,1247,-1266.3004752054342
Pendulum-v1,random,clean,1248,-1352.6744760557913
Pendulum-v1,random,clean,1249,-1324.7160708595861
Pendulum-v1,random,clean,1250,-1301.8928794023675
Pendulum-v1,random,clean,1251,-1327.4557474026305
Pendulum-v1,random,clean,1252,-1330.4864103614839
Pendulum-v1,random,clean,1253,-1279.7127490911266
Pendulum-v1,heuristic,clean,1234,-1080.7470977750286
Pendulum-v1,heuristic,clean,1235,-1062.444119579034
Pendulum-v1,heuristic,clean,1236,-1071.6438645677295
Pendulum-v1,heuristic,clean,1237,-1095.605002266862
Pendulum-v1,heuristic,clean,1238,-1170.4314390437273
Pendulum-v1,heuristic,clean,1239,-1151.1479780817608
Pendulum-v1,heuristic,clean,1240,-1214.8726851023316
Pendulum-v1,heuristic,clean,1241,-1140.1355952322597
Pendulum-v1,heuristic,clean,1242,-1126.8718550631427
Pendulum-v1,heuristic,clean,1243,-1140.4657519434734
Pendulum-v1,heuristic,clean,1244,-1111.1581120378746
Pendulum-v1,heuristic,clean,1245,-1113.3288871106774
Pendulum-v1,heuristic,clean,1246,-1051.0056624510785
Pendulum-v1,heuristic,clean,1247,-1101.1268502502385
Pendulum-v1,heuristic,clean,1248,-1118.0943809014298
Pendulum-v1,heuristic,clean,1249,-1123.6846488252102
Pendulum-v1,heuristic,clean,1250,-1055.661757587531
Pendulum-v1,heuristic,clean,1251,-1087.9492074524785
Pendulum-v1,heuristic,clean,1252,-1109.5000031040456
Pendulum-v1,heuristic,clean,1253,-1034.8901614862366
